nome,categoria,indirizzo,cap,comune,provincia,telefono,sito_web,lat,lon,osm_id
,Panetteria,Via Benvenuto Cellini 29 rosso,,,,,,44.4121847,8.9581732,node/254083336
,Panetteria,,,,,,,45.5000103,9.4245103,node/261663410
,Panetteria,,,,,,,45.5050334,9.4246734,node/261663744
,Panetteria,,,,,,,45.5001222,9.4203728,node/261666634
,Panetteria,,,,,,,45.4602296,9.1565744,node/281584214
,Panetteria,,,,,,,45.631988,13.0040391,node/283397384
,Panetteria,,,,,,,41.9190419,15.7985092,node/290304726
,Panetteria,,,,,,,46.0884251,11.1302609,node/295366195
,Panetteria,,,,,,,45.6395261,13.7841356,node/298615755
,Panetteria,,,,,,,45.4989977,9.4253867,node/300799519
,Panetteria,,,,,,,45.4995229,9.4230865,node/300799541
,Panetteria,,,,,,,45.4985122,9.4231895,node/300799831
,Panetteria,,,,,,,45.4966412,9.4231185,node/300800113
,Panetteria,,,,,,,46.3136019,11.6003592,node/303822592
,Panetteria,,,,,,,45.0690237,7.6971547,node/308766783
,Panetteria,,,,,,,45.7696029,8.5970047,node/309421904
,Panetteria,,,,,,,45.5520087,9.1854229,node/322108686
,Panetteria,,,,,,,41.8896611,14.7853585,node/345860194
,Panetteria,,,,,,,45.4931634,11.0190448,node/360671268
,Panetteria,,,,,,,42.805313,10.1989686,node/366584764
,Panetteria,,,,,,,44.558327,10.9747119,node/367566203
,Panetteria,,,,,,,45.5576709,9.2117669,node/367915989
,Panetteria,,,,,,,45.4110386,10.6874047,node/386565649
,Panetteria,,,,,,,45.9864158,13.1963395,node/423452004
,Panetteria,,,,,,,45.986115,13.195871,node/423453167
,Panetteria,,,,,,,44.4052832,8.97628,node/428415043
,Panetteria,,,,,,,45.6428442,10.5031335,node/454915802
,Panetteria,,,,,,,45.4010265,11.9444417,node/455928075
,Panetteria,,,,,,,37.6686438,12.5556318,node/458592973
,Panetteria,,,,,,,37.6641717,12.5687847,node/462356678
,Panetteria,,,,,,,38.0803156,12.7166624,node/463675226
,Panetteria,19 rosso,,,,,,43.7865555,11.2499576,node/468096580
,Panetteria,,,,,,,45.9009266,9.3321536,node/471623079
,Panetteria,,,,,,,42.2429767,13.9305137,node/472344322
,Panetteria,,,,,,,42.2432624,13.9347172,node/472344323
,Panetteria,,,,,,,46.0648119,11.2462483,node/480014329
,Panetteria,,,,,,,45.6112257,9.9181705,node/487103047
,Panetteria,,,,,,,45.508874,10.7344092,node/490182863
,Panetteria,,,,,,,44.9947281,10.8579559,node/497542496
,Panetteria,,,,,,,45.7809613,11.8014489,node/498449862
,Panetteria,Via Canevari,,,,,,44.4111749,8.952271,node/501784121
,Panetteria,,,,,,,44.392974,8.9749824,node/505774138
,Panetteria,,,,,,,44.3837385,9.021864,node/505819821
,Panetteria,,,,,,,44.4120518,8.8902797,node/506626160
,Panetteria,,,,,,,46.1752071,11.2196178,node/521374269
,Panetteria,,,,,,,44.4134089,8.9542013,node/524074415
,Panetteria,,,,,,,42.5504452,11.7254511,node/538206736
,Panetteria,,,,,,,41.9321215,12.4660589,node/538995413
,Panetteria,,,,,,,45.4879083,9.1624592,node/540824122
,Panetteria,,,,,,,44.4138431,8.9564597,node/556590290
,Panetteria,,,,,,,45.3847112,8.9861307,node/556988860
,Panetteria,,,,,,,45.4872845,12.1987297,node/567383806
,Panetteria,,,,,,,44.4075124,8.9535068,node/569110486
,Panetteria,,,,,,,45.4845537,12.1909177,node/577239052
,Panetteria,,,,,,,45.4394262,9.1830857,node/592661518
,Panetteria,,,,,,,41.5283536,12.9448032,node/602156409
,Panetteria,,,,,,,41.5307312,12.9491378,node/602161075
,Panetteria,,,,,,,43.9458163,11.9093395,node/605324504
,Panetteria,,,,,,,45.9492567,8.5895705,node/620035809
,Panetteria,,,,,,,43.8812441,11.103568,node/625386045
,Panetteria,,,,,,,43.8825756,11.1049606,node/625386046
,Panetteria,,,,,,,42.4752125,14.1981687,node/629672148
,Panetteria,,,,,,,44.2937629,12.0160362,node/632830254
,Panetteria,,,,,,,45.4956763,9.2942083,node/660969366
,Panetteria,,,,,,,44.4091552,8.9883012,node/664213337
,Panetteria,,,,,,,44.408026,8.9473499,node/664526042
,Panetteria,,,,,,,41.1526132,15.3809443,node/667530303
,Panetteria,,,,,,,44.4189021,8.9568124,node/668806351
,Panetteria,,,,,,,44.4181515,8.9625662,node/668840498
,Panetteria,,,,,,,41.0503705,14.4521674,node/697009771
,Panetteria,,,,,,,45.4717953,10.7425561,node/703365158
,Panetteria,,,,,,,45.3697464,10.5663917,node/719276562
,Panetteria,,,,,,,44.3498315,9.2275806,node/765324033
,Panetteria,Via Don Sturzo 6,,,,,,45.8056802,9.8228273,node/769163111
,Panetteria,,,,,,,39.9341944,9.7051823,node/796702410
,Panetteria,,,,,,,44.6314683,9.7311071,node/800819677
,Panetteria,,,,,,,44.6317252,9.7318744,node/800819790
,Panetteria,Via Romana,,,,,,45.6040282,9.8810522,node/804025468
,Panetteria,,,,,,,45.8906512,11.1547234,node/811780446
,Panetteria,,,,,,,45.7387587,8.7810831,node/844975032
,Panetteria,,,,,,,45.5838307,9.1595148,node/849599946
,Panetteria,,,,,,,45.5758304,9.1625015,node/849600311
,Panetteria,,,,,,,44.4740998,8.8893161,node/849971238
,Panetteria,,,,,,,46.3274969,11.0222369,node/853569537
,Panetteria,,,,,,,45.6351803,9.1953035,node/854516752
,Panetteria,,,,,,,37.7425772,12.503383,node/875700494
,Panetteria,,,,,,,37.7401142,12.4970984,node/875700514
,Panetteria,,,,,,,40.1267759,18.2039922,node/883495034
,Panetteria,,,,,,,40.1248144,18.2004962,node/901830005
,Panetteria,,,,,,,45.3454753,9.7240926,node/907822801
,Panetteria,,,,,,,44.418899,8.9381596,node/912018230
,Panetteria,,,,,,,45.6607625,9.6751631,node/913364904
,Panetteria,,,,,,,44.4144738,8.9126979,node/913433047
,Panetteria,,,,,,,44.4375405,8.8957885,node/913507289
,Panetteria,,,,,,,44.4126821,8.9346426,node/915818213
,Panetteria,,,,,,,43.6621924,10.6344435,node/935324800
,Panetteria,,,,,,,45.8024016,8.8417889,node/937735427
,Panetteria,,,,,,,45.0862712,8.0399485,node/938140051
,Panetteria,,,,,,,44.4075951,8.9562549,node/946532685
,Panetteria,,,,,,,41.497504,13.0450631,node/956663880
,Panetteria,,,,,,,42.7320798,12.1363671,node/960404166
,Panetteria,,,,,,,43.3078408,12.3263819,node/970779067
,Panetteria,,,,,,,45.9180419,12.8571604,node/972420999
,Panetteria,,,,,,,45.4602295,9.1118558,node/995633485
,Panetteria,,,,,,,45.4607337,9.1098924,node/995633486
,Panetteria,,,,,,,45.459902,9.0953327,node/1003120146
,Panetteria,,,,,,,41.008419,15.3760817,node/1023279968
,Panetteria,,,,,,,45.6043735,9.9007429,node/1112960518
,Panetteria,,,,,,,45.5387795,9.1648959,node/1127231164
,Panetteria,,,,,,,43.2109609,12.0087176,node/1149338924
,Panetteria,,,,,,,44.4124238,8.8985489,node/1156275128
,Panetteria,,,,,,,45.0424684,9.6938437,node/1156354585
,Panetteria,,,,,,,44.414806,8.8900005,node/1157495510
,Panetteria,,,,,,,44.5771915,10.8415218,node/1162994475
,Panetteria,,,,,,,44.576649,10.8470969,node/1162997501
,Panetteria,,,,,,,44.5714758,10.8473315,node/1162997509
,Panetteria,,,,,,,44.9193349,11.5808244,node/1214751658
,Panetteria,,,,,,,43.0808774,13.490377,node/1217649748
,Panetteria,,,,,,,45.544615,11.561374,node/1228508767
,Panetteria,,,,,,,44.6111397,8.95403,node/1256898904
,Panetteria,,,,,,,44.6741078,9.0948652,node/1268499494
,Panetteria,,,,,,,45.7321418,7.713502,node/1269483652
,Panetteria,,,,,,,44.0043837,10.1129317,node/1270127483
,Panetteria,,,,,,,43.7875162,11.2486974,node/1277947225
,Panetteria,,,,,,,45.5691707,10.8724819,node/1278718712
,Panetteria,,,,,,,44.1756838,12.0684974,node/1286984303
,Panetteria,,,,,,,45.1661299,10.0251475,node/1287975962
,Panetteria,,,,,,,41.8756357,12.6276017,node/1288999248
,Panetteria,,,,,,,41.8740379,12.6290984,node/1288999250
,Panetteria,,,,,,,46.4865058,11.3485708,node/1297259388
,Panetteria,,,,,,,43.8588779,11.9748016,node/1301939209
,Panetteria,Via Giuseppe Mercalli 28,,,,,,38.4131035,14.9545544,node/1341708546
,Panetteria,,,,,,,43.8078484,11.2439292,node/1351094619
,Panetteria,,,,,,,44.4041596,8.683648,node/1357741521
,Panetteria,,,,,,,44.7615701,7.313182,node/1358160670
,Panetteria,,,,,,,45.6706251,9.801432,node/1360806467
,Panetteria,,,,,,,41.2660755,15.8930305,node/1366222688
,Panetteria,,,,,,,42.5076414,14.1589111,node/1366611580
,Panetteria,,,,,,,44.5760253,10.8461504,node/1377689001
,Panetteria,,,,,,,43.5468557,12.1770398,node/1384535834
,Panetteria,,,,,,,46.1539546,9.3356961,node/1415730532
,Panetteria,,,,,,,44.4068145,8.9768232,node/1440957371
,Panetteria,,,,,,,40.5901393,17.1225018,node/1446966099
,Panetteria,,,,,,,40.588255,17.1298321,node/1448707297
,Panetteria,,,,,,,46.3209061,11.0659231,node/1449167146
,Panetteria,,,,,,,44.662596,9.8443692,node/1456251021
,Panetteria,Via Giovanni Opisso 57,,,,,,44.4265165,8.8197145,node/1463002403
,Panetteria,,,,,,,45.0591,7.6842611,node/1466778779
,Panetteria,,,,,,,45.0596556,7.6822797,node/1466778780
,Panetteria,,,,,,,44.4026127,8.9515723,node/1466961977
,Panetteria,12,,,,,,44.8995813,8.2140663,node/1468282854
,Panetteria,,,,,,,44.9019744,8.2074229,node/1470026038
,Panetteria,,,,,,,44.8956743,8.2049624,node/1470617327
,Panetteria,,,,,,,43.791729,11.221495,node/1473999030
,Panetteria,Via Cristoforo Colombo 156,,,,,,41.5255156,13.1516668,node/1482838543
,Panetteria,,,,,,,41.4971599,13.0429281,node/1485601604
,Panetteria,,,,,,,44.417779,8.9532298,node/1487254349
,Panetteria,,,,,,,43.4202901,11.1253116,node/1490181818
,Panetteria,,,,,,,43.4208341,11.1149474,node/1490207360
,Panetteria,,,,,,,43.4045448,11.0199029,node/1491158638
,Panetteria,,,,,,,45.5646365,12.2383522,node/1499474437
,Panetteria,,,,,,,45.7521382,11.745139,node/1504398443
,Panetteria,,,,,,,44.4051824,8.9828863,node/1507746452
,Panetteria,,,,,,,41.4402795,15.561898,node/1508796484
,Panetteria,,,,,,,42.3476526,14.1660038,node/1515978413
,Panetteria,1892a,30121,,,,,45.4441906,12.3293319,node/1522373379
,Panetteria,,,,,,,46.1428177,10.9654259,node/1524976166
,Panetteria,,,,,,,44.4316955,8.8938898,node/1529901964
,Panetteria,,,,,,,44.4476094,8.8939133,node/1531757194
,Panetteria,,,,,,,44.4293116,8.893254,node/1532499862
,Panetteria,,,,,,,44.4295405,8.8932237,node/1532499863
,Panetteria,,,,,,,41.2050984,15.5616614,node/1539847382
,Panetteria,,,,,,,40.9014698,9.1017795,node/1550261283
,Panetteria,,,,,,,46.4069622,13.0100025,node/1551867307
,Panetteria,,,,,,,46.4054086,13.0117835,node/1551867339
,Panetteria,,,,,,,46.4032779,13.0177061,node/1551879178
,Panetteria,,,,,,,42.3604299,14.1441453,node/1563065790
,Panetteria,,,,,,,46.1778298,11.831955,node/1563105043
,Panetteria,,,,,,,41.6270293,15.9103744,node/1575486885
,Panetteria,,,,,,,44.6965967,10.524841,node/1575744314
,Panetteria,,,,,,,44.6969819,10.5239237,node/1575745043
,Panetteria,,,,,,,44.4267409,8.8155707,node/1577222402
,Panetteria,,,,,,,44.424719,8.8145437,node/1578531404
,Panetteria,,,,,,,43.4879234,13.4793313,node/1584556708
,Panetteria,,,,,,,44.4276912,8.8352064,node/1588634175
,Panetteria,,,,,,,45.5114596,12.2830981,node/1591938606
,Panetteria,,,,,,,45.7934716,12.683003,node/1596178748
,Panetteria,,,,,,,45.7944212,12.682749,node/1596178752
,Panetteria,,,,,,,43.0484372,13.6770798,node/1605143336
,Panetteria,Via Piave 26,,,,,,45.728437,11.9195069,node/1606875330
,Panetteria,,,,,,,45.8183264,9.2508291,node/1621358215
,Panetteria,,,,,,,40.7024769,14.4922217,node/1632724419
,Panetteria,,,,,,,41.0346714,14.5220818,node/1632899667
,Panetteria,,,,,,,46.5730751,11.6754255,node/1636849142
,Panetteria,,,,,,,41.9282517,12.5233254,node/1641654211
,Panetteria,,,,,,,42.0228379,12.8081641,node/1644965194
,Panetteria,,,,,,,42.78531,10.1855136,node/1651069273
,Panetteria,,,,,,,45.1217505,11.4512296,node/1653143954
,Panetteria,,,,,,,39.0802814,17.1234516,node/1662145980
,Panetteria,,,,,,,44.3978526,8.9668692,node/1664641937
,Panetteria,,,,,,,41.863127,12.5474809,node/1665755351
,Panetteria,,,,,,,46.0516409,13.0405775,node/1666415357
,Panetteria,,,,,,,45.7337644,11.8405791,node/1670735925
,Panetteria,,,,,,,45.4198555,9.3999002,node/1672100233
,Panetteria,,,,,,,45.4159846,9.4005869,node/1672100295
,Panetteria,,,,,,,38.0688145,14.6383513,node/1676942494
,Panetteria,,,,,,,41.7893361,12.5144918,node/1694619534
,Panetteria,,,,,,,45.1092585,7.5437809,node/1695898282
,Panetteria,,,,,,,45.6308084,10.0984301,node/1696093634
,Panetteria,,,,,,,45.631572,10.1002034,node/1696093640
,Panetteria,,,,,,,43.817382,12.2642338,node/1696109123
,Panetteria,,,,,,,45.9374013,13.6069947,node/1697311791
,Panetteria,,,,,,,40.6049731,17.2322922,node/1708117785
,Panetteria,,,,,,,41.8636025,13.2478568,node/1709841669
,Panetteria,,,,,,,43.7815004,11.1681636,node/1711338996
,Panetteria,,,,,,,44.1992307,12.1880993,node/1714109556
,Panetteria,Via Martiri della Libertà 75 rosso,,,,,,44.4269252,8.812167,node/1717703567
,Panetteria,Via Sangemini 97,,,,+39 06 3071032,,41.9345331,12.4398068,node/1719355699
,Panetteria,,,,,,,40.6053921,17.2335842,node/1719652943
,Panetteria,,,,,,,45.4973252,9.152656,node/1720313905
,Panetteria,,,,,,,44.980606,7.6704526,node/1723642941
,Panetteria,,,,,,,44.4616615,7.5929768,node/1725711695
,Panetteria,,,,,,,43.5503577,10.3060328,node/1727016730
,Panetteria,,,,,,,45.532639,11.4799645,node/1728872480
,Panetteria,,,,,,,41.1163714,16.8900688,node/1733855304
,Panetteria,,,,,,,41.1122958,16.8953551,node/1733861393
,Panetteria,,,,,,,41.5488429,12.9856736,node/1736996495
,Panetteria,,,,,,,44.4140542,8.9521482,node/1741678968
,Panetteria,,,,,,,44.3462872,9.2276267,node/1752671384
,Panetteria,,,,,,,45.211947,12.2931177,node/1755862244
,Panetteria,,,,,,,45.2882251,7.4044292,node/1757191651
,Panetteria,,,,,,,44.5672084,8.9624031,node/1757394345
,Panetteria,,,,,,,43.3879818,10.4372688,node/1762154837
,Panetteria,,,,,,,45.3407933,7.3842706,node/1763101031
,Panetteria,,,,,,,44.4169987,11.7365406,node/1765547711
,Panetteria,,,,,,,46.8807989,11.4046256,node/1771088942
,Panetteria,,,,,,,45.2942215,11.8354666,node/1771844381
,Panetteria,,,,,,,44.5704781,8.9461675,node/1772865279
,Panetteria,,,,,,,46.4748608,10.2636691,node/1781741851
,Panetteria,,,,,,,45.3492125,9.1647532,node/1784574793
,Panetteria,,,,,,,44.6880371,8.0155705,node/1784688174
,Panetteria,,,,,,,46.0196112,8.789048,node/1789034100
,Panetteria,,,,,,,39.0929707,8.7159138,node/1794640708
,Panetteria,,,,,,,39.093544,8.7157488,node/1794640725
,Panetteria,,,,,,,45.5756662,12.3651472,node/1795339930
,Panetteria,,,,,,,37.7756996,13.7142234,node/1797054284
,Panetteria,,,,,,,37.7800743,13.7125532,node/1797065673
,Panetteria,,,,,,,45.6378839,9.3339441,node/1799102013
,Panetteria,,,,,,,44.6321768,10.9058321,node/1800639516
,Panetteria,,,,,,,45.9980414,9.7564413,node/1809978077
,Panetteria,,,,,,,43.4583081,11.8657685,node/1810633684
,Panetteria,,,,,,,45.4650998,12.1173885,node/1813877301
,Panetteria,,,,,,,44.645369,7.3182029,node/1828464756
,Panetteria,,,,,,,44.4125592,8.8868109,node/1829957706
,Panetteria,,,,,,,45.5592917,11.288861,node/1831114359
,Panetteria,,,,,,,45.8150737,12.8852544,node/1834018964
,Panetteria,,,,,,,45.8741177,8.9219157,node/1834390337
,Panetteria,,,,,,,41.9326841,12.9931049,node/1834720856
,Panetteria,,,,,,,41.7835182,12.435839,node/1836204189
,Panetteria,,,,,,,41.2667144,16.437071,node/1841875444
,Panetteria,,,,,,,45.9454837,13.6235062,node/1850675661
,Panetteria,,,,,,,45.8167396,9.8560894,node/1856885817
,Panetteria,Via Dante Alighieri 131,,,,,,44.9123151,8.6218446,node/1858677750
,Panetteria,,,,,,,37.7730228,12.8755543,node/1860891194
,Panetteria,,,,,,,43.0354762,13.1554318,node/1863235752
,Panetteria,,,,,,,45.7768651,12.8367506,node/1867579644
,Panetteria,,,,,,,45.7748487,12.8372806,node/1867579706
,Panetteria,,,,,,,45.773779,12.8395036,node/1868447462
,Panetteria,,,,,,,43.4585109,13.5403115,node/1869222863
,Panetteria,,,,,,,45.4506492,7.8480426,node/1881742483
,Panetteria,,,,,,,45.2465661,7.9647085,node/1891101083
,Panetteria,,,,,,,44.5446034,7.7201777,node/1892240792
,Panetteria,,,,,,,44.6997445,10.447717,node/1892963769
,Panetteria,,,,,,,46.123345,9.2802121,node/1893820470
,Panetteria,,,,,,,45.9653142,12.7704658,node/1906534972
,Panetteria,,,,,,,45.9663321,12.7706213,node/1906534999
,Panetteria,,,,,,,45.6294472,9.0298174,node/1907088625
,Panetteria,,,,,,,38.0010782,12.5463226,node/1914196811
,Panetteria,,,,,,,45.4570978,9.1210076,node/1924952130
,Panetteria,,,,,,,45.7597789,11.7521843,node/1925259772
,Panetteria,,,,,,,44.7255171,10.1116133,node/1929006619
,Panetteria,,,,,,,44.7563413,10.1405905,node/1930333050
,Panetteria,,,,,,,44.7562042,10.1411913,node/1930333053
,Panetteria,,,,,,,44.7565166,10.1405154,node/1930333055
,Panetteria,,,,,,,44.7227332,10.1183656,node/1930480093
,Panetteria,,,,,,,44.697824,10.0883678,node/1935187492
,Panetteria,,,,,,,45.0690058,9.9917842,node/1937732160
,Panetteria,,,,,,,43.7865742,11.397948,node/1938471781
,Panetteria,,,,,,,43.3100847,11.8985407,node/1952317980
,Panetteria,,,,,,,43.3000286,11.884164,node/1952317991
,Panetteria,,,,,,,43.3438829,11.9165061,node/1952317994
,Panetteria,,,,,,,37.4605863,14.9598908,node/1956592290
